TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION
TILE_088,0,0,0.5,0.5,0.2,14.93,1171,262.798
TILE_089,0,0,0.5,0.5,0.2,40.44,894,145.734
TILE_090,0,0,0.5,0.5,0.2,82.89,430,73.732
TILE_091,0,0,0.5,0.5,0.2,55.07,669,114.065
TILE_092,0,0,0.5,0.5,0.2,35.86,824,157.562
TILE_093,0,0,0.5,0.5,0.2,27.01,930,180.383
TILE_094,0,0,0.5,0.5,0.2,25.23,995,191.143
TILE_095,0,0,0.5,0.5,0.2,23.26,1141,197.036
TILE_096,0,0,0.5,0.5,0.2,23.15,1112,200.452
TILE_097,0,0,0.5,0.5,0.2,28.88,929,186.165
TILE_098,0,0,0.5,0.5,0.2,43.37,563,132.877
TILE_099,0,0,0.5,0.5,0.2,92.535,361,58.284
TILE_000,0,0,0.8,0.5,0.2,73.345,481,95.198
TILE_001,0,0,0.8,0.5,0.2,55.29,524,114.826
TILE_002,0,0,0.8,0.5,0.2,37.86,529,134.203
TILE_003,0,0,0.8,0.5,0.2,28.16,617,154.086
TILE_004,0,0,0.8,0.5,0.2,22.03,693,174.859
TILE_005,0,0,0.8,0.5,0.2,19.01,769,189.147
TILE_006,0,0,0.8,0.5,0.2,16.19,894,209.696
TILE_007,0,0,0.8,0.5,0.2,14.74,922,223.494
TILE_008,0,0,0.8,0.5,0.2,15.32,895,229.724
TILE_009,0,0,0.8,0.5,0.2,32.55,619.5,167.963
TILE_010,0,0,0.8,0.5,0.2,61.75,597,109.456
TILE_011,0,0,0.8,0.5,0.2,38.16,694,135.353
TILE_012,0,0,0.8,0.5,0.2,25.21,753,164.608
TILE_013,0,0,0.8,0.5,0.2,19.59,892,185.695
TILE_014,0,0,0.8,0.5,0.2,15.81,968,205.609
TILE_015,0,0,0.8,0.5,0.2,12.99,1048,224.257
TILE_016,0,0,0.8,0.5,0.2,10.71,1192,253.952
